call_id,utterance_id,speaker,start_ms,end_ms,language,utterance_text,trigger_label,intent_category,keyword_match,sentiment_score,speech_rate_wpm,acoustic_energy,recommended_response_id,ai_action_id,dataset_split,annotator_id,annotation_confidence,notes
C0001,1,customer,5300,7800,en,How much does it cost?,COST_QUERY,Interest,True,0.15,145,0.62,R_COST_01,A_SURFACE_AFFORDABLE,train,ann_01,0.95,clear cost intent
C0001,2,agent,8000,14500,en,Our plans start from $12/month and can be tailored...,NONE,None,False,0.2,160,0.58,R_NONE,A_NONE,train,ann_01,0.9,agent response
C0002,1,customer,1000,4200,en,I need to think about it.,HESITATION_THINK,Hesitation,True,-0.35,130,0.45,R_HESITATION_01,A_SEND_SUMMARY,train,ann_02,0.94,hesitation
C0002,2,agent,4300,8800,en,Totally understandable. I’ll send a summary and...,NONE,None,False,0.1,165,0.5,R_NONE,A_NONE,train,ann_02,0.88,agent reassurance
C0003,1,customer,2300,5200,en,Is there a medical check-up?,INFO_MEDICAL,Information,True,0.05,152,0.55,R_INFO_MED_01,A_SHOW_UNDERWRITING,train,ann_03,0.92,medical info
C0003,2,customer,5300,8700,en,What happens if I cancel?,INFO_CANCEL,Information,True,-0.1,148,0.49,R_INFO_CANCEL_01,A_SHOW_CANCELLATION,train,ann_03,0.96,cancellation concern
C0004,1,customer,1200,4100,en,I'm comparing other options.,HESITATION_COMPARE,Hesitation,True,-0.2,140,0.47,R_COMPARE_01,A_COMPARISON_TOOL,val,ann_01,0.91,buyer in research phase
C0005,1,customer,900,3500,en,Can I start today?,URGENCY_START,Urgency,True,0.3,170,0.63,R_URGENCY_START_01,A_PREP_APPLICATION,test,ann_02,0.93,closing signal
C0006,1,customer,2100,6400,en,Is this tax-deductible?,INFO_TAX,Information,True,0.0,150,0.52,R_INFO_TAX_01,A_SEND_TAX_GUIDE,train,ann_03,0.9,include compliance note
C0007,1,customer,3000,6800,en,I don't trust insurance companies.,HESITATION_TRUST,Hesitation,True,-0.4,135,0.44,R_TRUST_01,A_SHOW_REGULATORY,val,ann_02,0.89,trust objection
C0008,1,customer,1500,4300,en,Can I pay annually instead of monthly?,INTEREST_ANNUAL_PAY,Interest,True,0.2,160,0.6,R_ANNUAL_01,A_SWITCH_FREQUENCY,test,ann_01,0.94,payment preference
C0009,1,customer,1300,4800,en,What happens if I move abroad?,INFO_ABROAD,Information,True,-0.05,150,0.51,R_ABROAD_01,A_CHECK_COUNTRY_RULES,train,ann_03,0.92,needs localization
