product_id,product_name,product_type,objective,age_min,age_max,requires_medical_exam,medical_exam_threshold_thb,health_requirements,coverage_min_thb,coverage_max_thb,premium_min_month_thb,premium_max_month_thb,payment_frequency_options,term_years,cash_value,indexation_available,underwriting_level,riders_available,target_segments,promo_eligibility,currency,regulator,notes
ST20,SecureTerm 20,Term,Pure protection,18,60,True,8000000.0,Basic health questionnaire,1000000,10000000,500,2000,Monthly;Annual,20.0,False,True,Standard,Accidental Death;Critical Illness;Hospital Income,Young professionals;Families,Annual payment 5% off,THB,OIC,Competitive pricing for ages 25–45
ST30,SecureTerm 30,Term,Long-term protection,18,55,True,6000000.0,Basic health questionnaire,1000000,8000000,700,2500,Monthly;Quarterly;Annual,30.0,False,True,Standard,Accidental Death;Critical Illness,Mortgage holders;New parents,Bundle with AccidentGuard 10% off,THB,OIC,Designed for long liabilities like mortgages
LPWL,LegacyPlus Whole,Whole Life,Legacy + savings,25,65,True,5000000.0,Medical exam over threshold,2000000,20000000,2000,10000,Monthly;Annual,,True,True,Full,Critical Illness;Waiver of Premium,High earners;Business owners,Annual payment 7% off,THB,OIC,Cash value accumulation with dividend potential
WLCS,WealthLife Cash Saver,Whole Life,Savings focus,25,60,True,4000000.0,Medical exam over threshold,1000000,15000000,1800,9000,Monthly;Annual,,True,True,Full,Waiver of Premium;Accidental Death,Savers;Parents,Early-bird promo Q1,THB,OIC,High cash value build-up from year 3
EGCH,EduShield Child,Child/Term,Education protection,20,55,False,,No major illness in parent,500000,5000000,800,3000,Monthly;Annual,18.0,False,True,Standard,Waiver of Premium;Parent AD&D,Parents with young children,School season promo,THB,OIC,Premium waiver if parent dies or disabled
HCR1,HealthCare Rider Basic,Rider,Health protection,18,65,False,,Health declaration only,500000,1500000,500,1200,Monthly,,False,False,Simplified,—,Add-on for Term/Whole,Bundle 5% off with CI rider,THB,OIC,Hospital income optional add-on
HCR2,HealthCare Rider Plus,Rider,Health protection,18,65,True,2000000.0,May require exam for high coverage,1000000,3000000,700,1500,Monthly,,False,False,Standard,—,Add-on for Term/Whole,Bundle 8% off with CI rider,THB,OIC,Broader coverage & shorter waiting periods
ACC1,AccidentGuard Basic,Accident,Accident coverage,18,70,False,,None,1000000,3000000,300,700,Monthly;Annual,1.0,False,False,None,—,Gig workers;Drivers,No medical discount,THB,OIC,"Fast issue, no underwriting"
ACC2,AccidentGuard Plus,Accident,Accident coverage,18,70,False,,None,2000000,5000000,500,1000,Monthly;Annual,1.0,False,False,None,—,Outdoor enthusiasts,Bundle with Term 5% off,THB,OIC,Higher benefits for traffic accidents
CIT1,CriticalProtect 36,Critical Illness,Critical illness protection,20,65,True,3000000.0,Medical exam for high sum assured,500000,3000000,600,2000,Monthly;Annual,20.0,False,True,Standard,—,Health-conscious;Family history risk,Q2 promo 10% off for annual,THB,OIC,"Covers 36 conditions, lump-sum payout"
