stage_id,stage_name,step_order,script_id,language,script_text,intention,data_capture_fields,trigger_mapping,suggested_next_stage,personalization_tokens,ai_action_hint,notes,version
STG-01,Opening,1,OPN_01,en,"Hello {customer_name}, this is {agent_name} from {company_name}. How are you today?",Warm greeting,,,,"{customer_name},{company_name}",,Establish tone,v1
STG-01,Opening,2,OPN_02,en,"Hi {customer_name}, {agent_name} here with {company_name}. I’m reaching out to help you explore simple ways to protect your loved ones.",Warm greeting,,,,"{customer_name},{company_name}",,,v1
STG-01,Opening,3,OPN_03,en,"Good {time_of_day}, {customer_name}! Do you have a minute to talk about easy, affordable life protection?",Permission to proceed,,,,"{customer_name},{company_name}",ask_consent,,v1
STG-01,Opening,4,OPN_04,en,"I’ll keep this brief—about 2 minutes. If it’s useful, we can continue; if not, I’ll send a summary. Sound fair?",Set expectations,,,,"{customer_name},{company_name}",set_timer,,v1
STG-01,Opening,5,OPN_05,en,"Before we start, is now a good time or should I schedule a quick call later today?",Time check,,HESITATION_TIME,STG-12,"{customer_name},{company_name}",schedule_followup,,v1
STG-01,Opening,6,OPN_06,en,"Thanks! I help people find the right coverage in minutes—no pressure, just options.",Reassure / reduce friction,,,,"{customer_name},{company_name}",,,v1
STG-01,Opening,7,OPN_07,en,"If you prefer, I can send a summary after our quick chat so you can review at your pace.",Offer flexibility,,,STG-12,"{customer_name},{company_name}",send_summary,,v1
STG-01,Opening,8,OPN_08,en,"We’re regulated by {regulator} and keep everything transparent—fees, terms, and claims.",Trust cue,,HESITATION_TRUST,,"{customer_name},{company_name}",,Use early trust signal if prospect is skeptical,v1
STG-02,Rapport,1,RAP_01,en,I see you’re based around {city}. How’s your week going?,Build rapport,,,,"{customer_name},{city}",,,v1
STG-02,Rapport,2,RAP_02,en,Many people I speak with are planning for family and finances—does that sound like you?,Context alignment,,,,"{customer_name},{company_name}",,,v1
STG-02,Rapport,3,RAP_03,en,I’ll tailor this to you—mind if I ask a couple of quick questions?,Permission to ask,,,,"{customer_name},{company_name}",consent_questions,,v1
STG-02,Rapport,4,RAP_04,en,I help clients choose plans in under 5 minutes by focusing on what matters most to them.,Set collaborative tone,,,,"{customer_name},{company_name}",,,v1
STG-02,Rapport,5,RAP_05,en,"If you have kids or financial goals, I can show options that fit right away.",Prime relevance,,,,"{customer_name},{company_name}",,,v1
STG-02,Rapport,6,RAP_06,en,Would you prefer I keep this very high-level or get into practical numbers?,Style preference,conversation_style,,,"{customer_name},{company_name}",,,v1
STG-03,Qualification,1,QLF_01,en,"To make this useful: may I confirm your age range—under 25, 25–40, 41–55, or 56+?",Eligibility check,age_range,,,"{customer_name},{company_name}",filter_products,,v1
STG-03,Qualification,2,QLF_02,en,Do you currently have any life insurance coverage in place?,Current state,has_existing_policy,,,"{customer_name},{company_name}",,,v1
STG-03,Qualification,3,QLF_03,en,"Which best describes your priority right now—protection, savings, retirement income, or health/accident?",Needs categorization,objective,,,"{customer_name},{company_name}",tag_intent,,v1
STG-03,Qualification,4,QLF_04,en,"Do you prefer monthly payments, or would annual payments with a discount be better?",Payment preference,payment_frequency,,,"{customer_name},{company_name}",update_filter,,v1
STG-03,Qualification,5,QLF_05,en,"Do you have a comfortable monthly budget in mind (e.g., {currency}500–{currency}2,000)?",Budget discovery,budget_month,,,"{customer_name},{company_name}",filter_by_budget,,v1
STG-03,Qualification,6,QLF_06,en,Any major health conditions we should consider when recommending options?,Health screening,health_status,,,"{customer_name},{company_name}",adjust_underwriting,,v1
