trigger_phrase,intent_category,detection_keywords,recommended_response,ai_actions,personalization_tokens,next_best_step,priority,notes
How much does it cost?,Interest,cost;price;premium;how much,"Our plans start from {currency}{min_premium}/month and can be tailored to your budget. Based on {persona}, a coverage of {currency}{suggested_coverage} often balances affordability and protection.",surface_affordable_plans;show_quote_range;log_intent_cost,"{currency},{min_premium},{persona},{suggested_coverage}","Confirm budget range, propose 2 options (low and optimal).",1,Use affordability score to select plan tier.
What's the monthly premium?,Interest,monthly premium;per month;installment,"For {product_name}, premiums start at {currency}{min_premium}/month. If we adjust coverage to {currency}{suggested_coverage}, the monthly would be around {currency}{estimated_premium}.",calculate_quote;present_slider_premium;log_intent_cost,"{product_name},{min_premium},{suggested_coverage},{estimated_premium}",Offer slider to trade off coverage vs premium.,1,Show comparison against peer benchmark.
What's the coverage amount?,Interest,coverage;sum assured;benefit amount,"We offer coverage from {currency}{min_coverage} to {currency}{max_coverage}. For {persona} with {dependents} dependents, {currency}{suggested_coverage} is commonly chosen.",pull_crm_profile;recommend_coverage;log_intent_coverage,"{min_coverage},{max_coverage},{persona},{dependents},{suggested_coverage}",Explain how coverage is calculated (income x years).,1,Include calculator link.
Can I customize the plan?,Interest,customize;tailor;flexible,"Absolutely. You can adjust coverage, payment frequency, and add riders like critical illness or accidental death. What matters most—budget, coverage, or flexibility?",show_customization_options;present_riders;log_intent_customization,{priority_dimension},"Move to needs discovery, then propose configuration.",2,Dynamic configurator UI pop-up.
Do you have options for children?,Interest,child;children;education plan,Yes—many parents choose {product_child} to secure education funds. We can bundle a rider that protects tuition if anything happens to you.,surface_child_plans;bundle_education_rider;log_intent_family,{product_child},Introduce family plan bundle.,2,Mention education cost projection.
Is this available for my age group?,Interest,age limit;eligibility,"We accept applicants from {min_age} to {max_age}. At {age}, {product_name} often has the best approval rate and pricing.",check_age_eligibility;recommend_by_age;log_intent_eligibility,"{min_age},{max_age},{age},{product_name}","If near age cutoff, suggest accelerated sign-up.",2,Flag if age triggers medical exam.
Can I start today?,Urgency,start today;sign up now;begin now,Absolutely. The application takes about {apply_minutes} minutes and coverage can start as soon as {coverage_start}. Shall we begin?,prep_application;prefill_crm;log_intent_urgency,"{apply_minutes},{coverage_start}",Move straight to application.,1,Trigger compliance script before application.
What’s the minimum payment?,Interest,minimum payment;lowest premium,"The minimum monthly is {currency}{min_premium}. If that’s your target, we can set coverage to {currency}{min_coverage} and still keep essential protection.",calculate_min_package;log_intent_cost,"{min_premium},{min_coverage}",Offer upsell path after acceptance.,2,Present trade-offs clearly.
Do you offer discounts?,Interest,discount;promotion;offer,"We occasionally offer {discount_type} promos. Right now, you could save {discount_percent}% if you choose annual payment.",check_current_promotions;apply_discount;log_intent_discount,"{discount_type},{discount_percent}",Encourage annual payment if suitable.,2,Confirm regulatory constraints on promos.
Can I pay annually instead of monthly?,Interest,annual payment;yearly,Yes. Annual payments often come with a {discount_percent}% discount and fewer fees.,switch_frequency;recalculate_premium;log_intent_payment_frequency,{discount_percent},Confirm payment method and invoice setup.,2,Verify billing preferences in CRM.
