label,category,keywords
COST_QUERY,Interest,cost;price;premium;how much
COVERAGE_QUERY,Interest,coverage;sum assured;benefit amount
CUSTOMIZATION_QUERY,Interest,customize;flexible;tailor
HESITATION_THINK,Hesitation,think;later;not sure
HESITATION_SPOUSE,Hesitation,spouse;partner;family decision
HESITATION_TRUST,Hesitation,trust;skeptical;scam
INFO_CANCEL,Information,cancel;terminate;surrender
INFO_MEDICAL,Information,medical exam;underwriting;health check
INFO_PROCESS_TIME,Information,process;approval;duration
URGENCY_START,Urgency,start today;sign up now
RISK_JOB,Risk,lose job;unemployed
